epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_step
,0.0,0.0,0,
0,,,49,3.4582386016845703
0,,,99,3.0999069213867188
0,,,149,3.456645965576172
0,,,199,3.692892074584961
0,,,249,3.137831687927246
0,,,299,3.0757713317871094
0,,,349,3.5152359008789062
0,,,399,3.582151412963867
0,,,449,3.2735137939453125
0,,,499,3.56868314743042
