epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,val/bvccmain/ktau,val/bvccmain/lcc,val/bvccmain/mse,val/bvccmain/srcc,val/loss_epoch,val/loss_step
,0.0,0.0,0,,,,,,,
,,,0,,,,,,,1.8216419219970703
,,,1,,,,,,,2.0814437866210938
,,,2,,,,,,,1.9007568359375
,,,3,,,,,,,1.455322265625
,,,4,,,,,,,2.076141357421875
,,,5,,,,,,,2.784393310546875
,,,6,,,,,,,2.7703857421875
0,,,5,,-0.11162395030260086,-0.20246563851833344,4.975263595581055,-0.13327552378177643,2.127155065536499,
0,,,5,4.1407976150512695,,,,,,
,1.6666666666666667e-05,1.6666666666666667e-05,6,,,,,,,
,,,7,,,,,,,1.55767822265625
,,,8,,,,,,,1.7589111328125
,,,9,,,,,,,1.62994384765625
,,,10,,,,,,,1.19244384765625
,,,11,,,,,,,1.80694580078125
,,,12,,,,,,,2.475341796875
,,,13,,,,,,,2.451171875
1,,,11,,0.21266400814056396,0.16873237490653992,3.877199172973633,0.2688309848308563,1.8389195203781128,
1,,,11,4.0132551193237305,,,,,,
,3.3333333333333335e-05,3.3333333333333335e-05,12,,,,,,,
,,,14,,,,,,,0.91259765625
,,,15,,,,,,,1.099609375
,,,16,,,,,,,0.97607421875
,,,17,,,,,,,0.581787109375
,,,18,,,,,,,1.134033203125
,,,19,,,,,,,1.796142578125
,,,20,,,,,,,1.765625
2,,,17,,0.15334388613700867,0.1336820274591446,1.9705146551132202,0.19867853820323944,1.1808384656906128,
